	WT_1	WT_2	XistKO_1	XistKO_2
Efhd1	2	0	0	0
Slc36a1os	27	27	16	13
C130021I20Rik	0	0	0	0
Mir6375	0	0	0	0
Mir6370	0	0	0	0
Herc1	9779	8902	9960	8124
Tas2r125	0	0	0	0
Mir466b-2	0	0	0	0
Syngap1	20	29	17	4
Dcxr	8	15	13	5
Htr5a	0	0	0	0
Nisch	650	557	1086	545
Gnaq	8314	8498	5711	5018
Tsg101	3471	3622	4555	4069
Rnf4	10548	10444	15462	12579
4930447K03Rik	0	0	1	1
Kcnab1	11713	12180	6361	6429
Kcna7	0	0	0	0
Fech	2300	2416	2736	2323
Fdxr	0	0	3	2
AF357426	169	164	0	0
Dcaf11	53	51	91	57
Gas6	291	294	1	0
Sec11a	2510	1855	2167	1944
2610528J11Rik	0	0	0	0
Tnfaip8l1	16	8	1	4
Spc25	6120	5318	8258	7593
Magohb	7847	8663	9663	7560
Skap2	869	912	930	755
Gria4	45	34	0	0
Coprs	532	633	803	283
1810007C17Rik	47	38	17	5
AI504432	122	149	3433	3767
Gabrq	3	2	1	0
Ccrl2	0	1	3	0
Nol9	1437	1400	2299	1504
Gm4890	25	21	31	28
Izumo2	0	0	0	0
4930579G18Rik	36	30	44	40
Adamdec1	0	0	0	0
Cd164	33955	35252	30544	29134
Nabp2	24	16	49	18
Rsbn1	7470	8594	13822	14082
Arhgap6	107	151	929	969
1700099I09Rik	0	0	0	0
Pkd1l3	0	0	0	0
Tas2r121	0	0	0	0
Rhof	0	0	0	0
Slc31a1	4168	3903	4613	4045
Tas2r113	0	0	0	0
Tas2r109	0	0	0	0
Tas2r106	0	0	0	0
Tas2r104	0	0	0	0
Gab3	19	25	22	25
Clec18a	0	0	0	0
Macroh2a2	1249	1070	3	2
Gpr152	0	2	0	0
Usp49	96	80	93	82
Gprasp2	105	95	0	1
Gp6	0	0	0	0
Mup1	0	1	0	0
2310005E17Rik	0	0	0	0
AA545190	0	0	0	0
Rtn3	9001	8475	9179	7560
Mir467a-6	0	0	0	0
Osbpl1a	2002	1847	2146	2018
Gm773	2	1	0	0
Ccr6	0	0	0	0
4930515B02Rik	0	0	0	0
Ptp4a3	32	33	40	36
Rxfp2	0	2	0	0
Tubb5	21416	18827	27647	15610
4933417D19Rik	0	0	0	0
Oaz2	654	536	877	509
Numbl	199	313	284	94
Slc1a2	51	50	49	52
Galnt17	136	120	26	11
Oas1a	0	0	0	0
Rhov	0	0	0	0
0610040J01Rik	0	0	0	0
Rnpc3	8261	9495	9848	9751
Fam160b1	1581	1498	1596	1448
Lzts2	555	673	994	488
Me2	3769	3265	3543	2915
Cyb5rl	21	11	30	4
Dtx3	54	46	64	15
Oard1	1032	894	1153	791
Ints14	1192	1050	1238	1006
Ugt3a1	0	0	0	0
Vars2	17	17	27	12
Trpm4	2	3	6	1
4933407E24Rik	0	0	0	0
Lair1	0	5	1	1
5730408K05Rik	217	186	238	199
1700054K19Rik	0	0	0	0
Hhatl	0	0	0	0
Fam162a	1560	1548	3105	1385
Mllt3	3470	3442	4116	3770
Tagap1	83	84	126	109
Prm3	0	0	0	0
Mapk8ip2	0	0	0	0
Ttc6	0	0	1	0
Ube2d3	76523	77501	92035	90086
C030018K13Rik	0	0	0	0
Kif1a	5	7	4	2
AI463170	0	0	0	0
Ctdspl2	17197	18525	22118	21580
4930465M20Rik	0	0	0	0
Gm20757	0	0	0	0
Gm38426	3	3	9	5
Mir6911	0	0	0	0
5830444B04Rik	4	2	2	4
4930480K23Rik	73	62	103	85
Epb41l4b	6	3	3	0
Snhg15	664	827	1046	427
Lmtk2	849	806	872	664
Tango2	30	55	67	35
Mir6995	0	0	0	0
Tiam2	679	753	849	704
Zfyve21	69	33	64	44
Gm8624	0	0	0	0
Gm14486	0	0	0	0
Tbxa2r	0	0	0	0
Zfp40	896	930	393	396
Vmn2r36	0	0	0	0
Vmn2r35	0	0	0	0
Vmn2r34	0	0	0	0
Vmn2r33	0	0	0	0
Vmn2r32	0	0	0	0
Mir7035	0	0	0	0
Car1	0	0	0	0
Pag1	322	331	339	352
Oxsr1	4883	4557	5819	4187
Dnah3	0	1	0	0
Psmd2	4437	3735	5937	2714
Cgn	11	18	0	4
C4b	0	0	0	0
Nrn1	5206	6065	3222	2476
Mrgpra4	0	0	0	0
Lrrc41	358	327	422	217
Opalin	0	0	0	0
Txndc2	7	5	9	6
Spata21	0	0	0	0
Catsper4	0	0	0	0
Insc	0	2	0	1
Snord32a	11	8	7	5
Gm14590	0	0	0	0
Hjurp	455	355	505	325
Itgb1bp1	393	350	650	312
Zbtb43	776	883	890	678
Lpin1	107	123	213	164
Hmgxb3	172	151	208	109
1500015A07Rik	308	301	377	285
Stmn1-rs1	97	96	103	72
Wtip	110	99	121	72
Zbtb38	1085	1051	912	687
Myh13	0	0	0	0
Mbd1	1069	941	1445	1130
Mbd3l1	0	0	0	0
Ccdc120	53	63	55	36
Slc38a2	49571	53554	60365	61152
Trmt6	2989	2620	4960	3908
Cenpl	771	748	939	775
4930528H21Rik	0	0	1	1
Gm13375	255	258	251	171
Gclm	3734	4024	5069	5034
Cyb561	0	3	2	1
Arhgap33os	0	0	0	0
Snx7	9617	10574	11984	10480
Gm13539	0	0	0	0
P2rx4	21	12	37	14
A830052D11Rik	19	14	20	12
Carmn	37	22	20	6
Gm21057	0	0	0	0
Rab17	0	0	0	0
Rab11b	1318	1204	1664	1211
Nsg2	0	0	0	0
Gp1ba	0	0	0	0
Got2	820	747	1205	466
4930401O12Rik	0	0	0	0
Sipa1l3	211	304	326	362
Ddx11	411	343	550	330
Ccdc97	24	25	26	17
Fgf14	0	0	0	0
Ccdc92b	0	0	0	0
Gm10377	0	1	0	0
Nip7	8489	7551	4666	2572
Cherp	346	354	424	416
Ppp1r12a	20960	21776	18019	16616
Cerox1	5	6	5	0
Hnrnpk	132188	122345	162235	149778
Paox	32	27	72	42
Eloc	20790	21069	25134	22453
Osmr	4535	4299	4099	3514
Gamt	6	3	10	5
Prss52	0	0	0	0
Arhgef4	0	3	0	0
Asah1	16820	15124	11846	10963
Stx7	6144	6419	6208	5601
Vamp4	3769	3810	5783	5614
Irx6	0	0	0	0
Spdef	0	0	0	0
Gng13	0	0	0	0
Scmh1	205	243	194	189
St6galnac3	0	0	0	0
St6galnac1	0	1	3	2
Nudt21	7829	6763	7288	5763
Fam217a	0	3	1	2
Klf16	166	129	234	68
Rgmb	1073	1143	2911	2685
Ccdc89	12	14	51	29
Trnt1	11228	11476	12398	11741
Slc25a3	14506	15203	22943	17123
Il24	3	1	7	5
Olfr807	0	0	0	0
Olfr808	0	0	0	0
Olfr799	0	0	0	0
Cmtr2	4311	4168	2107	1910
Ces4a	0	0	0	0
Ccm2l	0	0	0	0
Pard6g	634	705	565	464
Wnt16	0	0	0	0
Gpnmb	87	84	34	25
Olfr2	0	0	0	0
BC028528	183	175	301	193
Atp7b	2	0	1	0
Cfap20	484	428	532	259
Fbxo21	725	789	914	642
Slc35a3	12315	13188	16935	16368
C130060C02Rik	17	21	13	10
4930473O22Rik	0	0	0	0
4930556N09Rik	0	0	0	0
4930545H06Rik	0	0	0	0
Mknk1	99	105	132	100
Cmtm5	0	0	0	0
Tmem68	3908	4015	5409	5348
Stmn4	0	0	0	0
Gria3	1797	1947	442	438
Atp13a5	0	0	0	0
F830045P16Rik	0	0	0	0
Gpr1	0	0	0	0
Uxs1	5160	5388	9123	7241
Has2os	14	17	25	16
Rag2	5	6	4	1
F7	0	0	0	0
Mcur1	743	696	1023	1022
Tpbgl	0	0	0	0
Slc5a9	0	0	0	0
Gm5547	0	0	0	1
Ppp4r1	1607	1271	1895	1484
Vmn1r157	0	0	0	0
Pnldc1	8	10	8	9
Ripply1	0	0	0	0
Clec2i	1	5	4	6
Dcun1d3	1673	1584	2314	2035
Mfrp	0	0	0	0
Ager	2	0	1	0
Rbm4	0	2	0	0
Pemt	2	2	2	0
Sirt4	52	68	88	40
Ccdc125	9	9	6	10
Mir7668	3	4	1	3
Mir7667	0	0	0	0
Adam8	8	5	11	5
Magel2	0	0	0	0
Akr1c13	0	0	2	1
Tjp3	0	0	0	0
Mir7664	0	0	0	0
Slc25a19	22	17	30	7
Chil3	0	0	0	0
Mlana	0	0	0	0
5031434O11Rik	1	4	1	0
Ctu2	12	14	15	6
Glcci1	366	442	641	601
Khdrbs2	98	151	0	0
Mill2	1	0	0	0
Zkscan1	5784	5422	6356	5294
Mefv	0	0	0	0
B630019K06Rik	423	430	405	369
Gapdh	565	379	981	248
Pola1	21479	19627	21515	20126
H2-T23	147	134	76	63
Mcm10	465	362	634	324
Rassf4	4	4	1	0
Tnpo3	7880	6988	9333	7005
Ticam2	1	0	0	2
Gm16023	19	15	15	6
Serpina1a	7	5	7	0
Tinag	3	3	1	3
Hand1	0	0	0	0
Svip	118	162	0	1
Mir377	0	0	0	0
1700024F13Rik	9	7	1	0
Gm6602	42	41	36	38
Zfp995	1250	1400	1108	1195
Snora19	0	0	0	0
Rassf7	38	26	32	17
Cep295nl	18	18	18	20
4930578M01Rik	3	15	7	7
Add1	3819	2979	4277	2993
4833427F10Rik	1	0	1	1
Alas1	278	239	269	168
C1d	10525	11487	13290	13256
Nfs1	362	452	719	544
Mir467f	0	0	0	0
Helt	0	0	0	0
Npr2	90	66	74	37
Zfyve1	130	111	137	90
Pla2g3	0	0	0	0
Tafa3	0	0	0	0
Nrl	0	0	1	0
Cct3	7662	4979	7823	4557
Nrk	622	719	0	1
Mdh1	4409	4784	6468	3980
Mdh2	413	262	486	192
4921513H07Rik	0	0	0	0
Gm6117	0	0	0	0
Tle1	902	967	1198	1047
Mov10	36	15	21	9
Hivep1	540	556	828	864
Il10ra	0	0	0	0
4930548J01Rik	0	0	0	0
Cwc27	1227	1138	1338	1093
Fryl	1288	1350	1361	1132
Zfp629	294	237	233	181
Kbtbd2	5453	5033	7364	6286
Cdiptos	0	0	1	0
Mir7647	10	3	6	3
Gm10538	0	0	0	0
Spp1	18794	22027	222579	201745
Plekhg5	2	1	2	0
Hoxc9	642	406	0	0
Strn3	32328	34117	39927	38527
Gsdmd	43	53	14	3
Plscr3	43	33	41	36
Mvk	6	3	4	4
Ppp1r14d	0	0	0	0
Tacstd2	0	0	0	0
Steap1	2601	3102	3570	2263
Eef1akmt2	2417	1991	2585	2339
Ugt2a3	0	0	0	0
1700031P21Rik	1	0	1	0
Ythdc2	6607	6983	9100	8677
Gm13363	0	0	0	0
4933433G19Rik	2	1	0	0
Mir6351	0	0	0	0
Zbtb5	439	398	419	357
Med16	18	30	27	16
Pla2g1b	0	0	0	0
Prelid1	445	453	1079	368
4930563M20Rik	0	1	2	1
Snca	38	51	66	73
Tma16	1264	999	1278	1006
Rabac1	1	3	1	2
Dhcr7	24	12	41	17
Aff2	30	39	0	0
Mir666	0	0	0	0
Mir1198	0	2	0	2
Mir1195	0	0	0	0
Mir126b	0	0	0	0
Ptges3l	31	29	45	11
Mtfr1	8520	9395	11592	10892
Gpatch1	213	218	271	200
4933401H06Rik	0	0	0	0
Gm16596	1	0	0	0
1700092C10Rik	1	6	0	0
Hsf5	31	39	46	42
Krtap11-1	0	0	0	0
Itsn1	699	628	823	528
BC051142	0	0	0	0
5930403L14Rik	7	9	8	8
Eif2b3	750	572	1161	621
Uroc1	1	0	0	0
Rad51	1499	1387	2070	1695
Glra4	0	0	0	0
Klra21	0	0	0	0
Cadps	0	6	0	0
Trhr	0	1	0	0
Tnp2	0	0	0	0
Gm3219	20	10	13	12
A930003O13Rik	5	2	7	7
Rpl35a	7865	5891	10008	5117
4931406B18Rik	98	113	89	86
Nol7	7607	8057	10417	8161
Izumo4	4	1	3	3
Gpn3	1356	1710	2779	2199
Krcc1	11090	11587	17353	16419
Pyroxd2	0	2	8	0
4930455D15Rik	6	1	1	5
Etaa1	4713	4755	6362	5990
Higd2a	47	44	83	26
Cpsf2	8580	7332	9147	7607
Ndufaf3	12	10	4	9
Tfe3	82	56	100	53
Slc25a2	28	29	18	15
Ccr1	5	2	455	373
2310015D24Rik	2	3	0	0
Map10	2	3	0	2
Zdhhc12	137	194	405	229
Ccdc3	1	4	0	0
Mtx3	3464	3385	4431	3565
P2ry1	26	35	16	19
Tyrp1	0	0	0	0
Phtf2	2614	2468	4017	3715
Lhx6	170	166	525	371
Zfp239	590	612	1009	899
Fscn2	0	0	0	0
Crygb	0	0	0	0
Gas2l1	122	87	174	127
Ttll6	0	0	0	0
Abracl	23889	24091	32866	30158
Bex4	36	35	0	1
Celsr3	0	0	0	0
4930417O22Rik	2	1	2	1
Resp18	0	0	0	0
S100a4	1688	833	4158	1135
Mir1933	3	2	1	3
4430402I18Rik	5	3	0	2
Nipal1	4113	3965	5199	5008
Gm15133	0	0	0	0
Lyplal1	191	202	305	180
Snord37	3	2	3	3
4933433H22Rik	1	1	3	0
4930433B08Rik	0	0	0	0
4930470O06Rik	0	0	0	0
Fggy	77	65	185	98
4930477N07Rik	0	1	0	0
Ect2l	0	0	0	0
Gpx2-ps1	10	9	12	9
Rbm3os	11	8	12	9
Arhgap20os	0	0	0	1
Ifnar2	779	656	980	709
Gpr146	3	7	3	1
Bnipl	1	1	1	2
Aspscr1	14	11	16	14
Btbd35f5	0	0	0	0
Rpa1	10048	8358	7526	4788
Sash3	0	0	0	0
Eml6	77	80	97	65
Zfp189	1055	1176	1221	1117
Rnf121	293	201	264	180
Orc2	10518	8953	14072	12550
Gemin8	202	212	271	223
Fchsd1	6	8	9	4
Ints8	13343	13233	14471	13324
Gm20867	0	0	0	0
Slfn3	30	32	1	1
Slfn2	0	0	0	0
Slc8a1	283	276	135	127
Slc4a1	0	0	0	0
Nme8	1	1	1	1
Ppp1r3e	3	10	8	14
9330117O12Rik	0	0	0	0
Slc41a2	1522	1388	1619	1406
Vmn1r85	0	0	0	0
Slco1a6	1	0	4	7
4831407H17Rik	0	0	0	0
4930518P08Rik	0	0	0	0
Lce1i	0	0	0	0
Rarg	75	37	144	72
Vps25	253	190	320	210
Gga2	439	323	327	177
Ids	4612	5800	4490	4864
Nppc	0	1	2	0
Pnoc	2	2	6	3
Sptbn4	0	0	3	0
Wbp4	2560	2208	4034	3710
Vmn1r188	0	0	0	0
Ctdnep1	419	395	647	358
Klhl4	0	0	1	0
Smyd1	6	4	4	0
Cyb561d1	45	35	59	19
Rab27a	76	57	117	53
Pcdhb12	10	4	0	0
Pcdhb11	6	4	0	0
Dhx34	9	9	12	4
Slc6a20a	0	0	0	0
Helz	1172	1296	1084	894
Rufy1	208	102	509	217
4930435F18Rik	0	0	4	0
Lypla1	17037	19189	22357	22744
Nckap5	0	2	0	0
Tdg-ps2	0	0	0	0
Stxbp3-ps	25	23	43	21
Tasp1	1857	1846	2830	2522
Gm8882	0	0	0	0
Esp31	0	0	0	0
Esp34	0	0	0	0
2310065F04Rik	0	0	0	0
Eif2d	483	347	553	351
Gm10767	43	50	72	62
Phkb	1759	1596	1210	973
Hfm1	2	5	8	17
4732414G09Rik	1	1	3	0
Mrap2	30	31	24	23
Cd36	6	6	1	4
Tmem273	0	0	0	0
Lck	5	6	5	1
Atad5	8030	8011	9982	9274
Malt1	1290	1223	1315	1136
Slc35d1	487	534	595	500
Tex48	0	0	0	0
Tmem164	992	969	919	679
Calml3	0	0	0	0
Tmem70	3174	3045	3819	2947
Gar1	852	949	1342	722
Cdh13	0	0	92	56
Cenph	1980	1941	2745	2360
Ugt8a	154	156	3	3
Caln1	0	0	0	0
Olfr156	0	0	0	0
Clstn2	0	0	0	0
Mecr	15	6	22	9
Sh3rf2	6	2	0	0
Fscb	0	0	0	0
Prkd3	7085	6561	9264	7436
Slc10a3	110	94	185	85
Dtx2	6	6	9	0
Mir7018	0	0	0	0
Lsamp	0	1	0	0
Twnk	156	106	186	102
Rab30	1334	1372	655	603
Samd7	0	1	1	1
Spata24	42	37	49	31
4930579G24Rik	3223	3519	4461	3918
Gltp	337	395	403	253
Cbln3	145	144	155	169
Rcan2	124	133	86	51
Tmem14a	411	346	369	399
Cldn22	0	0	0	0
Tmem225	0	0	0	0
Dmrtc1a	0	0	0	0
Rtn1	17	6	0	1
Akirin2	5618	5843	7165	6401
Naa50	66742	74017	91959	95478
Elovl7	144	108	204	175
H1f2	24	23	38	18
Tmod3	13491	13556	15047	15127
Dctpp1	58	77	159	29
Spast	6534	6663	6226	5799
Cd160	0	2	0	0
Rasgef1b	4	1	0	8
Pacrgl	508	523	619	566
Zkscan14	10	4	7	3
Ddhd1	638	651	1936	1448
Ctxn1	8	7	5	4
Ccser1	13	12	11	4
Gm5111	0	0	0	0
Mttp	481	524	548	557
Hnrnpa1l2-ps2	74	33	63	76
Nme9	0	0	0	0
Atp5a1	12207	11842	18663	10266
Mir7022	0	0	0	0
Mir7020	0	0	0	0
Mir3968	0	0	0	0
Scgb2b19	0	0	0	0
Gm10229	0	0	0	0
Dlg3	859	769	1219	764
Fsip1	29	20	7	7
Rnf148	0	0	0	0
Taf3	513	492	578	548
C1galt1	3498	3544	5659	5558
Dmrtc2	0	0	0	0
4930474N05Rik	0	0	0	0
Nmrk1	530	514	409	215
Adam6a	0	0	0	0
Mir7023	0	0	0	0
Tcf3	1064	1257	1492	1143
Ntsr2	0	0	0	0
Galnt16	12	7	30	17
Mettl5	1182	1257	2505	2263
Mir19b-2	0	0	0	0
C030013G03Rik	0	0	0	0
2610027K06Rik	0	0	0	0
Foxp4	11	2	3	4
Vmn2r42	0	0	0	0
Vmn2r10	0	0	0	0
Vmn2r30	0	0	0	0
Vmn2r37	0	0	0	0
Pcsk4	1	2	14	4
Mob4	17474	18369	23659	22644
Lyzl1	0	0	0	0
Zc3h13	1433	1423	2483	1972
Rnase2a	0	0	3	0
Ear6	0	0	0	0
Eloa	1799	1670	2729	1652
Itga3	49	29	70	19
Stx5a	288	219	319	131
Zfp385b	3	3	5	0
Cd200r3	0	0	0	0
Cabp4	14	3	6	5
Zc3h11a	10680	11727	15073	13753
Map11	74	100	145	80
Grm3	0	0	0	0
Vmn2r118	1	1	0	1
Ppig	13086	13532	16814	16398
Cntn1	0	0	0	0
A330035P11Rik	77	69	118	116
A330069E16Rik	495	458	548	368
Zswim8	86	45	77	69
Prl8a8	2	2	0	0
Klhl28	1032	1110	1589	1500
5430434I15Rik	0	0	4	9
Usp38	4822	4918	5373	4341
Atp1a2	51	84	73	71
Ccdc85b	47	51	75	50
Mex3d	2098	2281	2647	2548
C2cd4c	0	1	0	0
Hist1h2ap	0	0	0	0
Hist1h2an	59	38	61	71
Il15ra	197	203	82	83
P3h1	108	65	130	44
Akap11	10410	9713	21288	18819
Cct6b	5	7	10	5
Mir8112	0	0	0	0
Crxos	0	0	0	0
Scgb2b3	0	0	0	0
Fut7	0	0	0	0
Gtf3c6	1557	1178	1904	1439
Prdx4	6391	4298	4986	3846
Hsd17b10	312	159	308	179
Abcg3	0	1	0	0
Ccdc38	6	6	7	5
Cables1	5	1	1	3
Otud5	643	473	858	516
Vmn2r29	2	5	3	0
Taf1b	1007	1016	1184	940
Iqcf6	0	0	0	0
Zfp212	147	122	174	106
Irf1	38	23	46	22
Lhx8	0	0	0	0
Mnx1	0	0	0	0
Hbegf	2999	3104	8523	5334
Tbx15	6365	6023	8299	7934
Dnmt3aos	0	0	0	0
Mir7025	0	0	0	0
Inpp5a	292	243	249	148
Macf1	19367	18196	17393	13080
Xlr	27	29	19	13
Casp2	2045	1776	2461	2073
Mknk2	166	152	256	83
Galnt3	17	28	4	4
Ddb1	5075	3057	5065	1992
Cyp4f41-ps	3	2	8	7
Vmn1r256	0	0	0	0
Cd47	1133	1145	1791	1279
Prdm10	1278	1373	1326	1274
D430041D05Rik	16	18	6	10
Mia2	3572	3438	5686	5057
Pkp2	3482	2894	1563	1350
Gm6654	2	0	1	0
Hmox2	405	368	754	313
Tinagl1	44	61	25	6
Zfp235	114	106	154	78
Prkci	10696	10186	9631	8197
Igf2bp1	1684	1769	2460	2021
Ramp2	1	0	0	0
Gipc2	8	10	9	6
Stk39	1923	1805	1709	1333
Rfk	4862	4612	4957	4931
Abl1	529	542	613	474
Atrx	56110	56953	63762	62537
Wnt7b	1	1	0	0
4921531P14Rik	0	0	0	0
H2-T-ps	2	5	0	0
Atxn2l	348	340	360	279
Asphd1	0	0	0	0
2310043L19Rik	0	3	3	2
Mir763	47	73	153	131
Mir764	0	0	0	0
2700046G09Rik	44	36	53	44
Gdap1l1	0	1	0	0
Nit2	1110	1011	1592	1197
Grk4	2366	2635	2239	2288
Spag6l	0	0	0	0
Atp5b	11671	9854	15872	6892
Ech1	31	41	34	20
Yipf1	79	50	94	38
Mir7653	0	0	0	0
Tor2a	25	24	73	15
1810020O05Rik	0	0	0	0
Lrp12	2732	2716	2985	2809
Gnat2	43	25	48	28
Aplnr	2	0	0	0
Agr2	0	0	0	0
Adamts5	20997	22431	618	664
H2-Eb1	0	0	0	0
H2-Ea	0	0	0	0
Elavl1	11986	11858	15594	14188
Slc6a4	108	167	228	132
Htr1b	1606	1595	2967	3249
Mir6925	0	0	0	0
Mir6924	0	0	1	0
Gm3776	0	0	0	0
Aasdhppt	14794	16210	14931	13635
Atp11c	14098	15022	17159	17468
Gpr20	0	0	0	0
Zfp445	14200	13530	12428	10871
Agrn	98	65	110	69
Magea1	0	0	0	0
Med6	1711	1361	2144	1513
Klf3	1312	1171	913	879
Slurp2	0	0	0	0
Pkn1	22	9	19	10
Pqbp1	243	192	337	142
Ly6i	0	0	0	0
Gm9789	0	0	0	0
Urah	1	1	0	0
Fbxl21	8	9	22	14
Rdx	48889	44426	45081	42368
Rpl28	80	52	114	59
Htra3	0	0	0	1
Mrpl9	1129	811	1016	581
Gm16451	0	0	0	0
Cnih2	7	7	7	0
Lilra6	0	0	0	0
Gjb6	1	0	0	0
Rbm25	27858	28343	37450	32952
Klhl36	0	0	0	0
Rfwd3	15285	13638	9112	6614
A730056A06Rik	32	38	37	15
Dleu7	0	0	0	0
Plac8	2	5	576	400
Paip2b	3859	3204	4466	3467
Fgd2	0	0	0	0
Dynlt1a	250	261	278	189
Axl	26837	27242	26933	22943
1700092M07Rik	0	1	1	0
Snord49a	17	18	21	12
2210409D07Rik	0	0	0	0
Adora1	0	0	0	0
Ccne2	19825	21234	38702	37543
Sntg1	118	120	4	3
Nt5c3	2200	1916	2064	1733
Duoxa1	5	7	8	4
Carmil2	7	2	2	0
G6pd2	1	0	0	0
Snu13	8230	6079	8316	6383
Tnc	14259	12720	55328	36490
Fto	220	194	188	94
Atp6v1d	1158	1002	1575	998
Glt8d2	219	248	161	119
Rrp7a	29	15	32	16
Pgam5	5270	4031	5821	6143
Apcs	0	0	0	0
Khdrbs1	25075	24431	29107	30857
Pdlim1	1525	1796	2619	1225
Bysl	308	256	369	202
Mir6912	0	0	0	0
Gsto1	10684	12707	26084	13984
Sh2d1a	0	0	0	0
Isg15	38	41	104	81
Clec3b	0	0	0	0
Tlr6	26	26	10	4
Tbpl1	3170	3012	3771	3170
Col5a3	11	7	0	0
Ets2	2067	2169	4388	4000
Cops4	3306	2461	2997	2093
Taf2	6774	6439	6624	5998
Gm7244	0	0	0	0
Mir214	0	0	0	0
Rps3	6504	4245	6612	2648
Ccl2	3549	4023	2101	1833
1700010J16Rik	0	0	0	0
Cep97	801	825	979	868
Tlr5	1	0	0	0
Tbc1d19	3069	2916	2890	2454
Kcnj16	8	8	19	4
E030018B13Rik	0	0	0	0
Gsg1	0	1	0	0
Gm3716	24	48	12	19
A330102I10Rik	4	3	7	7
3830432H09Rik	2	2	0	0
Aar2	172	162	226	177
Mto1	713	679	866	576
Yju2	26	10	27	13
Klrc3	0	0	0	0
Vmn1r91	0	0	0	0
Vmn1r224	0	0	0	0
Unc80	0	0	1	2
Ptprd	431	394	50	54
Clta	2661	1790	2893	2596
Cd63	6141	5834	9195	4515
Cd59a	56	79	113	82
Cd53	41	57	1855	1633
Mir6915	0	0	0	0
Mir6914	0	0	0	0
Tm7sf2	2	4	3	0
Prl3a1	5	5	1	0
Insyn1	7	2	0	0
Papola	19558	19386	27219	24378
Sycp1	10	5	0	0
Socs6	12873	13932	19201	19613
Sec61b	4292	5205	8090	4902
9030204H09Rik	0	0	0	0
Rnf13	9675	10143	8735	8572
Nhs	112	102	71	78
Smarcc2	1448	1415	1676	1277
Nudt18	10	3	20	12
Tmem81	44	46	73	44
Mfsd8	857	913	948	811
Dhx36	25761	25860	29158	27371
Iah1	118	136	310	165
Ctdp1	432	376	657	411
Pax8	1	1	1	1
Fut11	818	725	1368	1099
Tmem192	101	61	55	41
Echdc3	21	18	25	7
Camk2n2	6	2	1	1
Sec13	1085	1367	1762	592
Ttc9b	0	0	0	0
Mir674	1	0	1	1
Mir496a	5	2	0	0
Mir7654	0	0	0	0
Mup22	0	0	0	0
Tspear	0	0	0	0
Mir7028	0	0	0	0
Selp	15	5	1	0
Kdm4b	16	8	21	13
Tle6	6	2	8	1
D630024D03Rik	0	0	0	0
D830026I12Rik	0	0	0	0
Myo1c	904	690	926	492
Mfap4	0	0	0	0
Cfap70	29	12	24	11
Mir466h	0	0	0	0
Mir466g	1	1	1	1
Mir466f-1	0	0	0	0
Mir465c-2	0	0	0	0
Gm20858	0	0	0	0
Josd2	3	2	1	3
Mir6932	2	3	2	1
Mir6931	0	0	0	0
Smpd4	740	724	1089	565
Spaca6	420	297	281	193
Papss2	949	750	109	131
Mir7689	0	0	0	0
Mir5119	4	12	5	1
Mks1	4	2	0	0
Sugct	12	12	12	9
Maats1	0	4	5	5
Dpy19l4	5060	5106	5478	4840
H2bc4	466	477	596	391
Kcnj14	5	6	4	4
Nol10	2020	1917	2595	2231
Trpv5	0	0	0	0
Ddah1	8102	6981	5586	3979
4931440F15Rik	1	1	0	0
Hspb8	290	195	390	165
Tas1r2	1	0	0	0
Tas1r3	1	10	9	5
Msh4	69	45	51	58
Prkab1	116	118	246	106
Tas1r1	0	0	0	2
Adcy3	75	58	111	108
Sap130	197	182	203	115
Spin2-ps1	0	0	0	0
Mobp	1	2	0	1
Gm15413	18	11	2	0
4930543E12Rik	0	1	0	0
Inha	9	4	8	4
Ilk	435	231	324	115
Gla	576	530	872	652
Adrb3	4	6	0	0
Oprd1	5	3	3	4
4930539J05Rik	59	70	35	57
Yy2	3428	4201	4269	4517
Pwwp2b	13	9	7	5
AF357399	177	140	212	204
Snord68	3	1	8	1
1700027F06Rik	0	0	0	0
Gm8765	0	0	0	0
Cbx4	648	789	760	696
1700020D14Rik	0	0	0	0
1700066J03Rik	2	7	4	2
Pcif1	63	53	66	21
Arhgap15os	1	1	2	0
D930015M05Rik	0	0	0	0
Map4k4	4360	3926	6976	4722
Srm	43	41	63	26
Crbn	3583	3622	3960	3390
Plcb3	294	303	586	265
Chac2	2446	2935	3532	3529
Mid1ip1	398	303	664	581
Renbp	11	11	3	0
Spock3	73	119	0	0
Ankrd9	7	15	15	4
Tcam1	1	1	0	0
Txnrd1	10521	10485	15902	13682
Chst9	1	1	0	2
Kat5	183	137	247	99
Ncf1	5	2	0	0
Tmem91	0	0	0	0
Trub2	459	355	462	266
Rhbdd3	10	7	21	11
Xlr4b	0	0	0	0
Pgm3	2196	2530	2466	2156
Gm8615	24	19	44	35
Alkbh1	951	829	1084	678
Vmn2r20	0	0	0	0
Vmn2r19	0	0	0	0
Tlr1	24	25	1	1
H2al1h	0	0	0	0
Mrps21	180	141	339	96
4930581F22Rik	158	162	254	186
Taco1	141	84	173	82
Trim32	1563	1648	2037	1522
Myh11	0	0	0	0
Mapk8ip3	158	101	103	65
Cx3cl1	47	53	142	68
9930111H07Rik	87	90	96	101
Gm12130	0	0	0	0
Macc1	1104	942	552	474
Cldn34-ps	0	0	0	0
Utp14b	1040	901	1289	964
Lrrc43	0	0	0	0
Fshb	0	0	0	0
Has1	37	30	99	83
